id,nome,destaque,descricao,imagem
1,HTML,false,Linguagem de marcação para estruturação de páginas web.,https://github.com/portf-lip/assets/raw/main/images/html.svg
2,CSS,false,Linguagem de estilos para definição do design e layout das páginas web.,https://github.com/portf-lip/assets/raw/main/images/css.svg
3,JavaScript,false,Linguagem de programação para interatividade em páginas web.,https://github.com/portf-lip/assets/raw/main/images/javascript.svg
4,TypeScript,true,Superset do JavaScript que adiciona tipagem estática.,https://github.com/portf-lip/assets/raw/main/images/typescript.svg
5,Node.js,true,Ambiente de execução JavaScript no lado do servidor.,https://github.com/portf-lip/assets/raw/main/images/node.svg
6,Java,false,Linguagem de programação robusta e amplamente usada no desenvolvimento Android e enterprise.,https://github.com/portf-lip/assets/raw/main/images/java.svg
7,NestJS,true,Framework para construção de aplicações back-end em Node.js.,https://github.com/portf-lip/assets/raw/main/images/nest.svg
8,Express.js,false,Framework web minimalista para Node.js.,https://github.com/portf-lip/assets/raw/main/images/express.svg
9,React,true,Biblioteca JavaScript para construção de interfaces de usuário.,https://github.com/portf-lip/assets/raw/main/images/react.svg
10,Vue.js,false,Framework progressivo para construção de interfaces de usuário.,https://github.com/portf-lip/assets/raw/main/images/vue.svg
11,PostgreSQL,false,Sistema de gerenciamento de banco de dados relacional avançado.,https://github.com/portf-lip/assets/raw/main/images/postgresql.svg
12,Docker,false,"Plataforma para criação, execução e gerenciamento de containers.",https://github.com/portf-lip/assets/raw/main/images/docker.svg
13,React Native,false,Biblioteca para desenvolvimento de aplicativos móveis com React.,https://github.com/portf-lip/assets/raw/main/images/react.svg
14,Next.js,false,Framework React para construção de aplicações web.,https://github.com/portf-lip/assets/raw/main/images/next.svg
15,Prisma,false,ORM para Node.js e TypeScript com suporte a diversos bancos de dados.,https://github.com/portf-lip/assets/raw/main/images/prisma.svg
16,Supabase,false,Plataforma open-source para desenvolvimento de aplicativos web e APIs.,https://github.com/portf-lip/assets/raw/main/images/supabase.svg
17,Tailwind CSS,false,Framework CSS para construção de interfaces de usuário.,https://github.com/portf-lip/assets/raw/main/images/tailwind.svg
18,.NET,true,Plataforma para desenvolvimento de aplicações diversas incluindo backend e desktop.,https://github.com/portf-lip/assets/raw/main/images/dot-net.svg
19,Kotlin,false,Linguagem moderna e concisa para desenvolvimento Android e backend.,https://github.com/portf-lip/assets/raw/main/images/kotlin.svg
20,Android (Nativo),false,Desenvolvimento de aplicações Android usando Java/Kotlin.,https://github.com/portf-lip/assets/raw/main/images/android.svg